group,source_path,description
p3-ongkos,results/processed/h13-doubtful-points.csv,Sebaran repetisi setiap titik pengukuran H11 dan H12 beserta penandaan meragukan (H13)
p3-ongkos,results/processed/h13-stability.csv,Median terbitan dan median gabungan setelah repetisi tambahan pada titik yang diulang (H13)
p4-reproducibility,results/processed/h13c-reproducibility-table.csv,Keberhasilan memanggil ulang angka terbit pada fixture dan pada panel untuk keempat perlakuan (H13C)
p4-reproducibility,results/processed/h13c-failure-profile.csv,Profil kegagalan menurut perlakuan sebab sumber domain dan tingkat geografi (H13C)
p4-reproducibility,results/processed/h13c-failure-cases.csv,Angka terbit yang tidak dapat dihasilkan ulang beserta nilai penggantinya dan locator sumbernya (H13C)
p3-ongkos,results/processed/h14-read-summary.csv,Byte yang dibaca tiap pernyataan tulis dari tabelnya sendiri dan dari berkas staging (H14)
p3-ongkos,results/processed/h14-query-plans.csv,Rencana eksekusi setiap pernyataan tulis beserta operator puncak dan jenis join-nya (H14)
p3-ongkos,results/processed/h14c-cost-decomposition.csv,Ongkos tetap dan ongkos per sel direvisi tiap perlakuan pada enam titik sweep (H14C)
p3-ongkos,results/processed/h14c-breakeven-conditions.csv,Arah terukur setiap perbandingan beserta syarat yang diperlukan agar titik impas mungkin ada (H14C)
p4-reproducibility,results/processed/h14c-cost-of-reproducibility.csv,Harga mempertahankan seluruh angka terbit per perlakuan (H14C)
p4-reproducibility,results/processed/h14c-failure-synthesis.csv,Ringkasan jenis kegagalan beserta akibat dan harga menghindarinya (H14C)
p3-ongkos,results/processed/h15-table-t8.csv,Tabel naskah T8 waktu penghitungan ulang per titik sweep (H15)
p3-ongkos,results/processed/h15-table-t9.csv,Tabel naskah T9 pertambahan byte per titik sweep (H15)
p3-ongkos,results/processed/h15-table-t10.csv,Tabel naskah T10 titik impas dan syaratnya (H15)
p3-ongkos,results/processed/h15-table-t15.csv,Tabel naskah T15 ongkos menerapkan keempat rilis nyata (H15)
p3-ongkos,results/processed/h15-table-t16.csv,Tabel naskah T16 byte yang dibaca dan rencana eksekusi (H15)
p3-ongkos,results/processed/h15-table-t7.csv,Tabel naskah T7 keadaan dasar sweep tiap perlakuan (H15)
p4-reproducibility,results/processed/h15-table-t13.csv,Tabel naskah T13 recall pada fixture dan panel (H15)
p4-reproducibility,results/processed/h15-figure-data.csv,Data keempat gambar bagian Hasil beserta rentang repetisinya (H15)
p4-reproducibility,results/processed/h15-figure-inventory.csv,Daftar gambar beserta sumbu keterangan dan batas klaimnya (H15)
p4-reproducibility,results/processed/h15-table-inventory.csv,Daftar tabel naskah beserta sumber dan statusnya terhadap kerangka beku (H15)
