freeze_id,freeze_item_4_4,scope,frozen_value,evidence_path,evidence_sha256
F4.1,4,treatment_b0,Overwrite; exactly one current row per cell_id; MERGE on revision; expire_snapshots down to one,contracts/h7-b0-overwrite.json,8091a23c6e156c052847d0a2675926a921f5070980690d057efa2681a2a4dbea
F4.2,4,treatment_b1,Full snapshot; INSERT OVERWRITE of the complete state per release; no snapshot expiry,contracts/h8-b1-full-snapshot.json,c4d5f659e5b25be6684e64ac6d56cc76e1945fd317e7adb8e9ee1a280a5d8ec3
F4.3,4,treatment_b2,Single-source selection under the frozen H6B trust score; INSERT OVERWRITE of the recomputed selection; expire_snapshots down to one,contracts/h7b-b2-single-source.json,18ba718cb4b115a10b1f6b0820fe7ee792850c1f2a9c9091d493eaa020c44ea1
F4.4,4,treatment_b3,"Vintage-aware; append-only store keyed by (cell_id, vintage_id) plus a materialized serving table updated only for cells marked dirty by the H6C lineage edges; expire_snapshots down to one on both tables",contracts/h9-b3-vintage-aware.json,58f9b76c8bb45286dbe5a1ffb3e1e01d6340ea1895d06c969341de661c4974d9
F4.5,4,trust_score,Five weighted dimensions frozen at H6B; observed values and conflict outcomes are barred from the score,results/processed/h6b-source-trust-scores.csv,114b33a9bb9274d0fa8f4cd546afe14d4e64f1fc29fe80ed3d97a5b9dac5006d
F5.1,5,primary_metrics,Recomputation time after one revision; indicator cells actually changed per revision; total storage; recall rate of published figures,config/experiments/metric_definitions.csv,682c5b2acd4dd0732096a86543805ba0e135a0204a2e2417ab316decd6ae26f6
F5.2,5,supporting_metrics,Lineage completeness; bytes read during recomputation; share of discrepancies explained automatically; revision propagation rate = served revisions / admitted revisions per run,config/experiments/metric_definitions.csv,682c5b2acd4dd0732096a86543805ba0e135a0204a2e2417ab316decd6ae26f6
F6.1,6,injection_rule,"Base value is the latest vintage; exactly one unit of published precision is added, reversed to minus one unit when a percentage would exceed 100; cell dimensions never change",config/h8b/human_decisions.csv,8a76b59367f7b646e970138dc5961dcf1ed7c519d2a9a4026af9f55f6164e28f
F6.2,6,validation_profile,"Sizes 1-2-4-7-14 on the 14-cell fixture with seed 20260909; validation only, already executed logically at H9B and physically at H10B for sizes 1 and 2",config/h8b/injection_scenarios.csv,b56d7d0999ca4622b2824d5b7db862f0969d779b7c94c68d1e6d926df262f559
F6.3,6,main_sweep,"Sizes 1-2-4-8-16-38 with seed 20260912, nested prefixes of one deterministic ranking, exactly one revised source per run",config/experiments/main_sweep_scenarios.csv,8499e81f3eb22459305d9bd887082b5d1bd778fab9917bb0bf5ab800516dffc6
F6.4,6,sweep_universe,"38 cells: sdg08_productivity_growth, series total, percent, 2025, every province, base source bps_webapi",config/experiments/main_sweep_universe.csv,d9b073eecc6a5bc891b9562cde7a7974673977871785cde5056ef74bee7e8cdb
F7.1,7,resource_limit,"Single node praktikum-sd: 2 vCPU, 8318799872 B RAM, 19594608640 B disk, Spark driver 2g; runs are sequential and held by one operator",config/h10c/human_decisions.csv,624cf8c87998aeb33fd56c02f88ea3a06f9b83ab99e8911c1e7baac1601d7bd8
F7.2,7,stack_versions,"MinIO RELEASE.2024-06-13T22-53-53Z, Iceberg REST 1.8.1, Spark 3.5.5_1.8.1; persistent SQLite catalog at jdbc:sqlite:/home/iceberg/iceberg_catalog.db",infra/docker/versions.env,af5f61ea78a765d43158d19f115fa5567d22e0d2e2530db3df8a21effaa8f81b
F7.3,7,repetitions,"Three purge-rebuild-measure repetitions per measurement point, reported as the median",contracts/h10b-injected-revision-physical.json,c6c27dbc37388d1f51132e84acb23a99bb777c04591b79ac8b00fc04b8c419ab
